Domain,Internal URL,Target url ,Anchor Text,Date Added,Last Checked,Status,Link Type,Notes
blogherald.com,http://www.blogherald.com/2011/10/18/facebooks-new-timeline-feature-how-to-use-it/,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
kaizenlog.com,http://www.kaizenlog.com/2011/10/20/5-tips-for-effective-communication-despite-language-barriers/,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
audival.net,http://www.audival.net/2011/tips-for-using-garage-band-to-edit-a-podcast/,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
901am.com,http://www.901am.com/2011/why-android-os-is-still-better-than-ios5.html,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
apnadesi.net,http://www.apnadesi.net/2011/10/siri-can-make-calls-on-passcode-locked.html,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
gogi.in,http://www.gogi.in/5-reasons-ditch-adsense-blog-monetization-methods.html,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
gather.com,http://www.gather.com/viewArticle.action?articleId=281474980638759,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
phonesreview.co.uk,http://www.phonesreview.co.uk/2011/10/26/iphone-4s-vs-motorola-droid-razr-the-competitive/,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
technews24h.com,http://www.technews24h.com/2011/10/5-great-reasons-you-should-be-using.html,http://www.metrofax.com/,online faxing,10/31/11,10/31/11,Active,Content Marketing,
applegazette.com,http://www.applegazette.com/ipad/how-to-access-facebooks-new-html5-web-app-on-the-ipad/,http://www.metrofax.com/,online fax services,10/31/11,10/31/11,Active,Content Marketing,
erati.com,http://www.erati.com/tv/whos-hot-on-dancing-with-the-stars/,http://www.metrofax.com/,online fax services,10/31/11,10/31/11,Active,Content Marketing,
parenting-blog.net,http://www.parenting-blog.net/tips/5-tips-for-talking-to-your-pre-teen-about-hygiene/,http://www.metrofax.com/,online fax services,10/31/11,10/31/11,Active,Content Marketing,
techsnapr.com,http://www.techsnapr.com/2011/10/23/5-tips-for-creating-an-engaging-facebook-business-fan-page/,http://www.metrofax.com/,online fax services,10/31/11,10/31/11,Active,Content Marketing,
best3dtvreviews.org,http://best3dtvreviews.org/thebenefitsoowninga3dtv/,http://www.metrofax.com/,online fax services,10/31/11,10/31/11,Active,Content Marketing,
