Domain,Source URL,Target URL ,Anchor Text,Date Added,Last Checked,Status,Link Type,Notes
901am.com,http://www.901am.com/2011/google-voice-app-finally-back-to-itunes-fixing-ios5-crash-bug.html,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
mychessblog.com,http://www.mychessblog.com/5-things-you-should-know-before-entering-your-first-chess-tournament/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
applegazette.com,http://www.applegazette.com/articles/5-unusual-facts-you-probably-didnt-know-about-steve-jobs/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
bizcrunch.net,http://www.bizcrunch.net/internet/why-freelancing-is-the-best-job-security/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
erati.com,http://www.erati.com/tv/is-netflix-still-worth-the-price/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
parenting-blog.net,http://www.parenting-blog.net/tips/5-halloween-safety-tips-for-children-and-teens/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
yurto.com,http://www.yurto.com/5-tips-for-teaching-your-kids-about-green-living/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
ceylonluxury.com,http://www.ceylonluxury.com/2011/10/5-amazing-things-to-do-in-sri-lanka/,http://www.ufxmarkets.com/,UFX Markets,10/31/11,10/31/11,Active,Content Marketing,
theiraqmuseum.org,http://www.theiraqmuseum.org/the-pros-and-cons-of-using-facebook-as-a-teaching-tool/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
freakgeeks.com,http://www.freakgeeks.com/2011/17967/5-key-differences-between-windows-7-and-windows-8/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
gaming-blog.net,http://www.gaming-blog.net/2011/10/5-tips-for-forming-healthy-gaming-habits/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
celebrific.com,http://www.celebrific.com/22382/preachy-ashton-kutcher-video-takes-on-media-truth/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
brewed-coffee.com,http://www.brewed-coffee.com/coffee/5-awesome-coffee-blends-for-the-holiday-season/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
froodee.com,http://www.froodee.com/articles/5-diet-friendly-tips-for-getting-past-halloween/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
celebchefs.net,http://www.celebchefs.net/news/tv-chef-charged/,http://www.ufxmarkets.com/,UFX Markets Trading,10/31/11,10/31/11,Active,Content Marketing,
901am.com,http://www.901am.com/2011/google-voice-app-finally-back-to-itunes-fixing-ios5-crash-bug.html,http://www.ufxmarkets.com/,UFX Markets,11/30/11,11/30/11,Active,Content Marketing,
mychessblog.com,http://www.mychessblog.com/5-things-you-should-know-before-entering-your-first-chess-tournament/,http://www.ufxmarkets.com/,UFX Markets,11/30/11,11/30/11,Active,Content Marketing,
