Domain,Category,Site Type,Channel,Link Type,Notes
articles-and-ads.com,"Business, Automotive",Blog,Tami,Sponsored Posts,"Finance, Automotive"
brooger.com,"Business, Electronics/Engineering, Health and Fitness",Blog,Tami,Sponsored Posts,"Business, Technology, Health"
chillopedia.com,"Electronics/Engineering, Sports and Recreation, Lifestyle & Relationships",Blog,Tami,Sponsored Posts,"Technology, sports, Politics"
cleansebody.org,Health and Fitness,Blog,Tami,Sponsored Posts,Health
clickarticles.net,News,Blog,Tami,Sponsored Posts,General Information
cloudnetworknews.com,Electronics/Engineering,Blog,Tami,Sponsored Posts,Application Technology
coloncleansehomemade.com,Health and Fitness,Blog,Tami,Sponsored Posts,Health
e-mond.com,Business,Blog,Tami,Sponsored Posts,Insurance
geekadviser.com,Electronics/Engineering,Blog,Tami,Sponsored Posts,technology
globalgoodgroup.com,News,Blog,Tami,Sponsored Posts,General Information
healthburden.com,Health and Fitness,Blog,Tami,Sponsored Posts,Health
newaboutindia.com,Electronics/Engineering,Blog,Tami,Sponsored Posts,Technology
personalfinancewisdom.com,Business,Blog,Tami,Sponsored Posts,Finance
raisethem.com,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,Parenting
sheshines.us,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,Fashion
singleonlinedating.org,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,Dating
thereviewcafe.com,News,Blog,Tami,Sponsored Posts,There's a virus in this site
topschools4kids.com,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,Education
westarka.com,Business,Blog,Tami,Sponsored Posts,Social Marketing
westarka.com,Business,Blog,Tami,Sponsored Posts,Social Marketing
workoutroutinestoloseweight.org,Health and Fitness,Blog,Tami,Sponsored Posts,Fitness
1hitproperty.com,Business,Blog,Tami,Sponsored Posts,Real Estate
21cwoman.com,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,Women
articlearn.com,News,Blog,Tami,Sponsored Posts,General Information
beautyandfashiontech.com,Lifestyle & Relationships,Blog,Tami,Sponsored Posts,"Women, Fashion"
bendistraw.com,News,Blog,Tami,Sponsored Posts,News
blitalk.com,News,Blog,Tami,Sponsored Posts,General Information
