Domain,Source URL,Target URL,Anchor Text,Date Added,Last Checked,Status,Link Type,Notes
startuplawblog.com,http://www.startuplawblog.com/2011/10/27/%E2%80%9Ccrowdfunding%E2%80%9D-an-idea-whose-time-has-legally-come/,http://www.lawqa.com/qa,Law QA,October,,,,
aboutrothira.com,http://aboutrothira.com/the-roth-ira-vs-the-401k-whats-the-difference/,http://www.lawqa.com/qa,legal questions,October,,,,
puppy-dogs.com,http://puppy-dogs.com/2011/10/18/the-pros-and-cons-of-purchasing-pet-insurance-2/,http://www.lawqa.com/qa,legal answers,October,,,,
photoboothprojects.com,http://www.photoboothprojects.com/2011/11/to-protect-their-right.html,http://www.lawqa.com,www.Lawqa.com,November,,,,
apartmentqz11.com,http://www.apartmentqz11.com/2011/11/problematic-tenant.html,http://www.lawqa.com/,LawQA.com,November,,,,
aboutrothira.com,http://aboutrothira.com/the-roth-ira-vs-the-401k-whats-the-difference/,http://www.lawqa.com/qa,legal questions,November,,,,
puppy-dogs.com,http://puppy-dogs.com/2011/10/18/the-pros-and-cons-of-purchasing-pet-insurance-2/,http://www.lawqa.com/qa,legal answers,November,,,,
oceanplaygroundcottages.com,http://www.oceanplaygroundcottages.com/2011/11/driving-safely-do-not-drink-and-drive/,http://www.lawqa.com/dui-law-questions-and-answers/qa/,DUI law answers,November,,,,
theartofeverydayjoe.com,http://theartofeverydayjoe.com/2011/11/04/why-you-should-get-bankruptcy-help/,http://www.lawqa.com/free-legal-resources/bankruptcy,bankruptcy help (misspelling intentional),November,,,,
vespertinecrawl.com,http://www.vespertinecrawl.com/2011/11/childhood-weight-and-custody.html,http://www.lawqa.com/news/childhood-obesity-affect-child-custody,obseity and custody disputes,November,,,,
showbonline.com,http://www.showbonline.com/2011/11/driving-while-intoxicated.html,http://www.lawqa.com/qa/how-much-does-it-cost-to-fight-dui,DWI cost,November,,,,
acelynnierva.com,http://www.acelynnierva.com/blogging/update-on-the-photo-grabbing-case.html,http://www.lawqa.com/criminal-law-questions-and-answers/qa/,criminal case question,,,,,
