Date,"Sites Acquired",Pending,"Pending TO Approved","Pending TO Accepted","Approved TO Pre QA","Approved TO Accepted","Content Sent","Email Sent","Email Open","Email Received"
"2013-10-01 00:00:00",38,160,61,25,31,34,27,549,227,81
"2013-10-02 00:00:00",34,76,56,7,31,16,19,420,166,69
"2013-10-03 00:00:00",21,70,33,5,27,16,31,399,163,59
"2013-10-04 00:00:00",15,25,13,1,22,9,6,96,101,40
"2013-10-05 00:00:00",6,3,0,1,0,1,0,45,20,8
"2013-10-06 00:00:00",0,0,0,0,1,0,0,0,8,5
"2013-10-07 00:00:00",25,31,28,0,24,12,27,542,178,54
"2013-10-08 00:00:00",50,110,83,6,30,21,27,426,141,58
"2013-10-09 00:00:00",25,122,60,8,24,47,27,324,122,48
"2013-10-10 00:00:00",16,74,62,5,20,15,36,497,174,52
"2013-10-11 00:00:00",13,44,65,4,9,6,5,458,137,54
"2013-10-12 00:00:00",1,0,0,0,0,0,0,13,24,5
"2013-10-13 00:00:00",1,1,0,0,2,0,2,16,14,6
"2013-10-14 00:00:00",43,92,32,11,32,26,65,391,159,41
"2013-10-15 00:00:00",37,70,46,5,38,21,37,407,150,41
"2013-10-16 00:00:00",32,54,59,0,21,30,29,407,197,53
"2013-10-17 00:00:00",13,57,32,8,14,11,20,415,175,47
"2013-10-18 00:00:00",25,27,19,5,11,5,19,219,92,31
"2013-10-19 00:00:00",1,2,0,0,1,0,0,4,11,10
"2013-10-20 00:00:00",7,0,0,0,0,0,0,2,4,2
"2013-10-21 00:00:00",60,63,36,4,28,19,16,118,66,21
"2013-10-22 00:00:00",23,66,13,3,21,13,19,147,63,15
"2013-10-23 00:00:00",17,86,24,9,17,38,18,151,79,33
"2013-10-24 00:00:00",14,68,53,14,7,16,16,76,46,18
"2013-10-25 00:00:00",9,26,24,1,19,12,21,50,24,8
"2013-10-26 00:00:00",0,4,0,0,2,0,1,0,2,0
"2013-10-27 00:00:00",1,3,0,1,2,0,1,2,2,2
"2013-10-28 00:00:00",22,78,26,12,27,25,40,114,51,19
"2013-10-29 00:00:00",13,34,13,3,16,6,25,105,70,19
"2013-10-30 00:00:00",31,57,24,3,16,20,30,85,39,21
"2013-10-31 00:00:00",14,64,55,2,18,21,32,49,38,8
"2013-11-01 00:00:00",16,41,24,3,14,3,17,39,14,6
"2013-11-02 00:00:00",7,3,0,0,2,3,0,8,8,5
"2013-11-03 00:00:00",2,4,0,0,0,1,0,14,6,4
"2013-11-03 23:00:00",13,67,52,6,33,28,45,67,32,17
"2013-11-04 23:00:00",26,108,55,11,20,32,29,94,42,20
"2013-11-05 23:00:00",12,45,30,3,25,23,38,57,44,20
"2013-11-06 23:00:00",10,93,22,4,26,8,28,74,32,16
"2013-11-07 23:00:00",4,55,83,2,22,9,23,50,31,9
"2013-11-08 23:00:00",0,3,0,0,0,0,0,1,2,2
"2013-11-09 23:00:00",2,1,0,1,2,0,1,2,2,2
"2013-11-10 23:00:00",8,78,76,13,17,18,35,75,40,26
"2013-11-11 23:00:00",30,71,28,5,32,16,46,50,37,26
"2013-11-12 23:00:00",6,66,49,8,36,11,30,83,45,15
"2013-11-13 23:00:00",4,20,16,2,21,6,27,37,25,15
"2013-11-14 23:00:00",6,20,16,1,19,8,17,47,31,15
"2013-11-15 23:00:00",0,0,0,0,3,0,2,16,6,7
"2013-11-16 23:00:00",0,1,0,0,0,1,0,0,4,1
"2013-11-17 23:00:00",35,48,28,5,24,15,16,118,51,20
"2013-11-18 23:00:00",21,34,18,1,12,10,19,168,76,35
"2013-11-19 23:00:00",16,69,30,5,24,15,50,130,72,36
"2013-11-20 23:00:00",10,36,33,3,27,19,13,69,34,12
"2013-11-21 23:00:00",3,23,18,2,17,7,28,40,27,16
"2013-11-22 23:00:00",0,1,0,0,0,1,0,31,15,7
"2013-11-23 23:00:00",0,0,0,0,0,0,2,0,4,1
"2013-11-24 23:00:00",17,55,9,7,32,14,32,94,45,16
"2013-11-25 23:00:00",18,52,43,4,24,13,37,72,38,17
"2013-11-26 23:00:00",15,43,18,2,16,6,22,66,29,13
"2013-11-27 23:00:00",39,3,0,1,2,1,1,22,5,4
"2013-11-28 23:00:00",3,3,0,0,3,0,1,23,12,2
"2013-11-29 23:00:00",0,0,0,0,0,0,0,0,1,1
"2013-11-30 23:00:00",0,0,0,0,1,0,1,0,5,5
"2013-12-01 23:00:00",9,80,71,2,47,25,20,17,16,6
"2013-12-02 23:00:00",15,106,47,11,24,17,51,28,16,10
"2013-12-03 23:00:00",9,1,66,7,32,13,22,38,21,7
"2013-12-04 23:00:00",18,55,42,4,22,15,26,39,70,11
"2013-12-05 23:00:00",4,48,24,6,23,16,28,162,78,24
"2013-12-06 23:00:00",0,0,0,0,0,0,0,0,5,5
"2013-12-07 23:00:00",0,0,0,0,1,0,0,0,2,2
"2013-12-08 23:00:00",14,99,52,7,25,14,15,101,43,20
"2013-12-09 23:00:00",12,108,79,12,23,13,32,141,75,23
"2013-12-10 23:00:00",9,78,42,8,31,38,67,155,76,26
"2013-12-11 23:00:00",10,42,28,6,20,16,36,160,58,18
"2013-12-12 23:00:00",5,31,9,4,14,13,21,26,22,6
